RIO;COORD- X;COORD- Y;PUNTO;FECHA;Anomalopsychidae;Atriplectididae;Blepharoceridae;Calamoceratidae;Ptilodactylidae;Chordodidae;Gomphidae;Hydridae;Lampyridae;Lymnessiidae;Odontoceridae;Oligoneuriidae;Perlidae;Polythoridae;Psephenidae;Ampullariidae;Dytiscidae;Ephemeridae;Euthyplociidae;Gyrinidae;Hydraenidae;Hydrobiosidae;Leptophlebiidae;Philopotamidae;Polycentropodidae;Polymitarcydae;Xiphocentronidae;Gerridae;Hebridae;Helicopsychidae;Hydrobiidae;Leptoceridae;Lestidae;Palaemonidae;Pleidae;Pseudothelpusidae;Saldidae;Simuliidae;Veliidae;Baetidae;Caenidae;Calopterygidae;Coenagrionidae;Corixidae;Dixidae;Dryopidae;Glossossomatidae;Hyalellidae;Hydroptilidae;Hydropsychidae;Leptohyphidae;Naucoridae;Notonectidae;Planariidae;Psychodidae;Scirtidae;Aeshnidae;Ancylidae;Corydalidae;Elmidae;Libellulidae;Limnichidae;Lutrochidae;Megapodagrionidae;Sialidae;Staphylinidae;Belostomatidae;Gelastocoridae;Mesoveliidae;Nepidae;Planorbiidae;Pyralidae;Tabanidae;Thiaridae;Chrysomelidae;Stratiomyidae;Haliplidae;Empididae;Dolichopodidae;Sphaeridae;Lymnaeidae;Hydrometridae;Noteridae;Ceratopogonidae;Glossiphoniidae;Cyclobdellidae;Hydrophilidae;Physidae;Culicidae;Chironomidae;Muscidae;Sciomyzidae;Syrphidae;Tubificidae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHAPIZA;170189;9701869,7;P5;10/01/2018  15:25:43 p, m,;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;;;;0,142857143;;;;;;;0,142857143;;;;0,142857143;;;;;;;;;;0,142857143;;;;;;;;;;;;;;;0,142857143;;;;;;;;;;;;;;;0,142857143;;;;;;;;;;;;;;;;;;;;;;;;;;0,142857143;;;;;;;;;;;;;;;;;-0,277987164;;;;;;;-0,277987164;;;;-0,277987164;;;;;;;;;;-0,277987164;;;;;;;;;;;;;;;-0,277987164;;;;;;;;;;;;;;;-0,277987164;;;;;;;;;;;;;;;;;;;;;;;;;;-0,277987164;;;;;;;;;;;;;;1,95;Contaminación moderada;
HUASAGA;275317,5;9699416,5;P1;09/05/2018  09:00:00 a, m,;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;;;0,166666667;;;;;;;;;0,166666667;;;;;;;;;;;;;0,166666667;;;;;;;;;;;;;0,166666667;;;;;;;;;0,166666667;;;;;;;;;;;;;;;;0,166666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,298626578;;;;;;;;;-0,298626578;;;;;;;;;;;;;-0,298626578;;;;;;;;;;;;;-0,298626578;;;;;;;;;-0,298626578;;;;;;;;;;;;;;;;-0,298626578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,79;Contaminación moderada;
HUASAGA;267687,4;9704496,8;P2;09/05/2018  10:45:20 a, m,;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;7;;;;0,142857143;;;;;;;;;0,142857143;;;;;;;;;;;;;;0,142857143;;;;;;;;;;;;;;0,142857143;;;;;;;;;;;;;;;;;0,142857143;;;;;;;;;;;;;;;0,142857143;;;;;;;;;;;;;;0,142857143;;;;;;;;;;;-0,277987164;;;;;;;;;-0,277987164;;;;;;;;;;;;;;-0,277987164;;;;;;;;;;;;;;-0,277987164;;;;;;;;;;;;;;;;;-0,277987164;;;;;;;;;;;;;;;-0,277987164;;;;;;;;;;;;;;-0,277987164;;;;;;;;1,95;Contaminación moderada;
HUASAGA;260536,9;9708079,8;P3;09/05/2018  12:54:40 p, m,;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;;0,2;;;;;;;;;;;0,2;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,321887582;;;;;;;;;;;-0,321887582;;;;;;;;;;;-0,321887582;;;;;;;;;;;;;;;;;-0,321887582;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,321887582;;;;;;;;;;;;;;;;;;;;;;;;;;1,61;Contaminación moderada;
HUASAGA;258714,1;9715164,6;P4;09/05/2018  03:18:33 p, m,;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;;;0,142857143;0,142857143;;;;;;;;0,142857143;;;;;;;0,142857143;;;;;;;;0,142857143;;;;;;;;;;;;;;0,142857143;;;;;;;;;;0,142857143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,277987164;-0,277987164;;;;;;;;-0,277987164;;;;;;;-0,277987164;;;;;;;;-0,277987164;;;;;;;;;;;;;;-0,277987164;;;;;;;;;;-0,277987164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,95;Contaminación moderada;
HUASAGA;257269,2;9720800,8;P5;09/05/2018  06:15:53 p, m,;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0,166666667;;;;;;;;;0,166666667;;;;;;;;0,166666667;;;;;;;;;;;;0,166666667;;;0,166666667;;;;;;0,166666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,298626578;;;;;;;;;-0,298626578;;;;;;;;-0,298626578;;;;;;;;;;;;-0,298626578;;;-0,298626578;;;;;;-0,298626578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,79;Contaminación moderada;
CHAPIZA;177784,8;9681258,3;P1;11/05/2018  08:12:23 a, m,;1;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0,071428571;;0,071428571;0,071428571;;;0,071428571;0,071428571;;;;;;;0,071428571;0,071428571;0,071428571;;;;;;0,071428571;;;;0,071428571;;;0,071428571;;;;;;;;;0,071428571;;;;;;;;;;;;;;;0,071428571;;;;;;;;;;0,071428571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,188504095;;-0,188504095;-0,188504095;;;-0,188504095;-0,188504095;;;;;;;-0,188504095;-0,188504095;-0,188504095;;;;;;-0,188504095;;;;-0,188504095;;;-0,188504095;;;;;;;;;-0,188504095;;;;;;;;;;;;;;;-0,188504095;;;;;;;;;;-0,188504095;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,64;Contaminación moderada;
CHAPIZA;178221,8;9689341,6;P2;11/05/2018  10:33:13 a, m,;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;;;0,142857143;;;;;;0,142857143;;;;;;;;;0,142857143;;;;;;0,142857143;;;;;;;;;;;;;;;;;;;;0,142857143;;;;;;;;;;;;;0,142857143;;;;;;;;;;;;;;;0,142857143;;;;;;;;;;;;;;;;;;;;;;;;;-0,277987164;;;;;;-0,277987164;;;;;;;;;-0,277987164;;;;;;-0,277987164;;;;;;;;;;;;;;;;;;;;-0,277987164;;;;;;;;;;;;;-0,277987164;;;;;;;;;;;;;;;-0,277987164;;;;;;;;;;;;;;;;;;;;;;;1,95;Contaminación moderada;
CHAPIZA;178170;9693894;P3;11/05/2018  01:19:35 p, m,;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0,142857143;;;;0,142857143;;;;0,142857143;;;;;;;;;0,142857143;;;;;;;;;0,142857143;;;;;;;;;;;;;;;;0,142857143;;;;;;;;;;0,142857143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,277987164;;;;-0,277987164;;;;-0,277987164;;;;;;;;;-0,277987164;;;;;;;;;-0,277987164;;;;;;;;;;;;;;;;-0,277987164;;;;;;;;;;-0,277987164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,95;Contaminación moderada;
CHAPIZA;176461,8;9699526,9;P4;11/05/2018  03:27:39 p, m,;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;;0,142857143;;;;;;;;;;0,142857143;;;;;;;;;;;0,142857143;;;;;;;;;;;;;;0,142857143;;;;;;;;;;;;0,142857143;;;;;;;;;;;;;;;;;;;0,142857143;;;;;;;;;;;;0,142857143;;;;;;;;;;;;;;;;-0,277987164;;;;;;;;;;-0,277987164;;;;;;;;;;;-0,277987164;;;;;;;;;;;;;;-0,277987164;;;;;;;;;;;;-0,277987164;;;;;;;;;;;;;;;;;;;-0,277987164;;;;;;;;;;;;-0,277987164;;;;;;;;;;;;;;;1,95;Contaminación moderada;
CHAPIZA;170189;9701869,7;P5;11/05/2018  06:43:19 p, m,;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;0,2;;;;;;;;;;;;;;0,2;;;;;;;;;;;0,2;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,321887582;;;;;;;;;;;-0,321887582;;;;;;;;;;;;;;-0,321887582;;;;;;;;;;;-0,321887582;;;;;;;;;;;;-0,321887582;;;;;;;;1,61;Contaminación moderada;
HUASAGA;275317,5;9699416,5;P1;04/09/2018  06:23:17 a, m,;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;;;0,2;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,321887582;;;;;;;;;;;;;-0,321887582;;;;;;;;;;;;;;-0,321887582;;;;;;;;;;;;;;;-0,321887582;;;;;;;;;;;;;;;;;;;;;;;-0,321887582;;;;;;;;;;;;;;;;;;;;;;;;;;;1,61;Contaminación moderada;
HUASAGA;267687,4;9704496,8;P2;04/09/2018  09:48:13 a, m,;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0,166666667;;;;;;;;;;0,166666667;;;;;;;;;;;0,166666667;;;;;;;;;;;;0,166666667;;;;;;;;;;;0,166666667;;;;;;;;;;;;0,166666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,298626578;;;;;;;;;;-0,298626578;;;;;;;;;;;-0,298626578;;;;;;;;;;;;-0,298626578;;;;;;;;;;;-0,298626578;;;;;;;;;;;;-0,298626578;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,79;Contaminación moderada;
