RIO;COORD- X;COORD- Y;PUNTO;FECHA;Temperatura;Ph;Oxigeno disuelto;Solidos_Totales;Nitratos;Fosfatos;Turbiedad;DBO5;Coliformes fecales;CALIDAD AGUA NSF;Clasificacion 
HUASAGA;275317,5;9699416,5;P1;04/09/2018  06:23:17 a, m,;19,6;7,1;8,87;61,23;4,9;1,01;1,56;15,8;700;51,39;Regular
HUASAGA;267687,4;9704496,8;P2;04/09/2018  09:48:13 a, m,;19,7;7,3;8,69;97,9;2,3;1,02;1,63;16,1;800;52,51;Regular
HUASAGA;260536,9;9708079,8;P3;04/09/2018  12:09:18 p, m,;20,1;6,5;8,78;98,2;3,6;1,01;1,03;14,5;600;50,75;Regular
HUASAGA;258714,1;9715164,6;P4;04/09/2018  02:50:39 p, m,;20,3;6,38;6,23;52,3;4,8;0,99;0,59;11,3;600;48,93;Malo
HUASAGA;257269,2;9720800,8;P5;04/09/2018  05:43:00 p, m,;20,5;6,98;7,63;83,9;4,5;0,63;0,85;11,9;600;53,86;Regular
CHAPIZA;177784,8;9681258,3;P1;07/09/2018  06:25:19 a, m,;19,5;7,02;7,9;94,3;4,9;0,56;0,81;12,2;700;54,95;Regular
CHAPIZA;178221,8;9689341,6;P2;07/09/2018  09:08:25 a, m,;19,9;6,56;7,56;96,01;6,1;0,63;0,94;16,1;600;50,33;Regular
CHAPIZA;178170;9693894;P3;07/09/2018  11:33:10 a, m,;21,8;6,89;8,36;92,5;6,5;0,42;1,02;13,4;600;52,75;Regular
CHAPIZA;176461,8;9699526,9;P4;07/09/2018  02:43:39 p, m,;22,2;6,7;8,2;98,99;6,8;0,26;0,79;12,7;700;53,79;Regular
CHAPIZA;170189;9701869,7;P5;07/09/2018  05:13:56 p, m,;22,5;7,1;7,63;81,95;4,9;0,87;0,75;11,2;1500;50,54;Regular
HUASAGA;275317,5;9699416,5;P1;08/01/2019  08:27:43 a, m,;19,3;7,2;6,36;54,1;4,8;0,56;2,56;11,8;600;53,8;Regular
HUASAGA;267687,4;9704496,8;P2;08/01/2019  10:21:33 a, m,;19,5;7,5;6,89;62,5;4,7;0,69;2,08;15,6;600;51,65;Regular
HUASAGA;260536,9;9708079,8;P3;08/01/2019  01:11:40 p, m,;19,9;7,1;8,6;62,97;5,8;0,63;2,94;14,2;700;53,17;Regular
HUASAGA;258714,1;9715164,6;P4;08/01/2019  03:22:25 p, m,;20,5;7,4;8,02;49,8;4,6;0,96;2,71;12,9;800;51,93;Regular
HUASAGA;257269,2;9720800,8;P5;08/01/2019  05:32:29 p, m,;21,7;7,1;7,96;76,8;3,5;0,67;1,95;14,2;1000;51,93;Regular
